frame,x,y
0,0,0
1,181,0
2,362,0
3,543,0
4,724,0
5,905,0
6,1086,0
7,1267,0
8,1448,0
9,1629,0
10,1810,0
11,1991,0
12,2172,0
13,2353,0
14,2534,0
15,2715,0
16,2896,0
17,3077,0
18,3258,0
19,3439,0
20,3620,0
21,3801,0
22,3982,0
23,4163,0
24,4344,0
25,4525,0
26,4706,0
27,4887,0
28,5068,0
29,5249,0
30,5430,0
31,0,181
32,181,181
33,362,181
34,543,181
35,724,181
36,905,181
37,1086,181
38,1267,181
39,1448,181
40,1629,181
41,1810,181
42,1991,181
43,2172,181
44,2353,181
45,2534,181
46,2715,181
47,2896,181
48,3077,181
49,3258,181
50,3439,181
51,3620,181
52,3801,181
53,3982,181
54,4163,181
55,4344,181
56,4525,181
57,4706,181
58,4887,181
59,5068,181
60,5249,181
61,5430,181
62,0,362
63,181,362
64,362,362
65,543,362
66,724,362
67,905,362
68,1086,362
69,1267,362
70,1448,362
71,1629,362
72,1810,362
73,1991,362
74,2172,362
75,2353,362
76,2534,362
77,2715,362
78,2896,362
79,3077,362
80,3258,362
81,3439,362
82,3620,362
83,3801,362
84,3982,362
85,4163,362
86,4344,362
87,4525,362
88,4706,362
89,4887,362
90,5068,362
91,5249,362
92,5430,362
93,0,543
94,181,543
95,362,543
96,543,543
97,724,543
98,905,543
99,1086,543
100,1267,543
101,1448,543
102,1629,543
103,1810,543
104,1991,543
105,2172,543
106,2353,543
107,2534,543
108,2715,543
109,2896,543
110,3077,543
111,3258,543
112,3439,543
113,3620,543
114,3801,543
115,3982,543
116,4163,543
117,4344,543
118,4525,543
119,4706,543
120,4887,543
121,5068,543
122,5249,543
123,5430,543
124,0,724
125,181,724
126,362,724
127,543,724
128,724,724
129,905,724
130,1086,724
131,1267,724
132,1448,724
133,1629,724
134,1810,724
135,1991,724
136,2172,724
137,2353,724
138,2534,724
139,2715,724
140,2896,724
141,3077,724
142,3258,724
143,3439,724
144,3620,724
145,3801,724
146,3982,724
147,4163,724
148,4344,724
149,4525,724
150,4706,724
151,4887,724
152,5068,724
153,5249,724
154,5430,724
