frame_id,base_id_est,base_x_est,base_y_est
0,156,5068,1267
1,117,3801,1086
2,128,0,1267
3,189,5249,1448
4,128,0,1267
5,128,0,1267
6,128,0,1267
7,128,0,1267
8,136,1448,1267
9,136,1448,1267
10,135,1267,1267
11,104,1448,1086
12,128,0,1267
13,136,1448,1267
14,136,1448,1267
15,136,1448,1267
16,136,1448,1267
17,104,1448,1086
18,104,1448,1086
19,104,1448,1086
20,104,1448,1086
21,104,1448,1086
22,104,1448,1086
23,104,1448,1086
24,104,1448,1086
25,104,1448,1086
26,104,1448,1086
27,104,1448,1086
28,73,1629,905
29,19,3439,543
30,156,5068,1267
31,124,5068,1086
32,43,1991,724
33,43,1991,724
34,155,4887,1267
35,155,4887,1267
36,43,1991,724
37,155,4887,1267
38,155,4887,1267
39,76,2172,905
40,74,1810,905
41,42,1810,724
42,75,1991,905
43,74,1810,905
44,75,1991,905
45,43,1991,724
46,124,5068,1086
47,125,5249,1086
48,45,2353,724
49,76,2172,905
50,76,2172,905
51,76,2172,905
52,45,2353,724
53,76,2172,905
54,76,2172,905
55,76,2172,905
56,76,2172,905
57,76,2172,905
58,76,2172,905
59,76,2172,905
60,91,4887,905
61,156,5068,1267
62,156,5068,1267
63,128,0,1267
64,188,5068,1448
65,128,0,1267
66,34,362,724
67,156,5068,1267
68,125,5249,1086
69,189,5249,1448
70,125,5249,1086
71,126,5430,1086
72,189,5249,1448
73,189,5249,1448
74,156,5068,1267
75,92,5068,905
76,124,5068,1086
77,58,4706,724
78,124,5068,1086
79,124,5068,1086
80,124,5068,1086
81,60,5068,724
82,189,5249,1448
83,82,3258,905
84,92,5068,905
85,110,2534,1086
86,110,2534,1086
87,92,5068,905
88,174,2534,1448
89,92,5068,905
90,92,5068,905
91,174,2534,1448
92,174,2534,1448
93,174,2534,1448
94,174,2534,1448
95,174,2534,1448
96,110,2534,1086
97,92,5068,905
98,92,5068,905
99,146,3258,1267
100,174,2534,1448
101,174,2534,1448
102,189,5249,1448
103,58,4706,724
104,189,5249,1448
105,125,5249,1086
106,125,5249,1086
107,125,5249,1086
108,125,5249,1086
109,125,5249,1086
110,125,5249,1086
111,125,5249,1086
112,125,5249,1086
113,125,5249,1086
114,34,362,724
115,188,5068,1448
116,188,5068,1448
117,128,0,1267
118,128,0,1267
119,19,3439,543
120,43,1991,724
121,43,1991,724
122,156,5068,1267
123,125,5249,1086
124,188,5068,1448
125,65,181,905
126,126,5430,1086
127,174,2534,1448
128,47,2715,724
129,45,2353,724
130,189,5249,1448
131,189,5249,1448
132,18,3258,543
133,18,3258,543
134,125,5249,1086
135,125,5249,1086
136,133,905,1267
137,125,5249,1086
138,133,905,1267
139,133,905,1267
140,133,905,1267
141,18,3258,543
142,125,5249,1086
143,189,5249,1448
144,189,5249,1448
145,125,5249,1086
146,189,5249,1448
147,45,2353,724
148,45,2353,724
149,126,5430,1086
150,45,2353,724
151,126,5430,1086
152,45,2353,724
153,125,5249,1086
154,126,5430,1086
155,60,5068,724
156,47,2715,724
157,126,5430,1086
158,189,5249,1448
159,125,5249,1086
160,125,5249,1086
161,125,5249,1086
162,125,5249,1086
163,125,5249,1086
164,125,5249,1086
165,125,5249,1086
166,125,5249,1086
167,45,2353,724
168,125,5249,1086
169,45,2353,724
170,45,2353,724
171,45,2353,724
172,45,2353,724
173,45,2353,724
174,77,2353,905
175,156,5068,1267
176,153,4525,1267
177,90,4706,905
178,74,1810,905
179,74,1810,905
180,74,1810,905
181,74,1810,905
182,74,1810,905
183,74,1810,905
184,74,1810,905
185,74,1810,905
186,75,1991,905
187,106,1810,1086
188,20,3620,543
189,20,3620,543
190,128,0,1267
191,174,2534,1448
192,169,1629,1448
193,169,1629,1448
194,184,4344,1448
195,184,4344,1448
196,171,1991,1448
197,171,1991,1448
198,171,1991,1448
199,169,1629,1448
200,169,1629,1448
201,169,1629,1448
202,169,1629,1448
203,169,1629,1448
204,169,1629,1448
205,184,4344,1448
206,169,1629,1448
207,15,2715,543
208,169,1629,1448
209,169,1629,1448
210,169,1629,1448
211,190,5430,1448
212,170,1810,1448
213,169,1629,1448
214,190,5430,1448
215,168,1448,1448
216,4,724,543
217,38,1086,724
218,127,5611,1086
219,128,0,1267
220,127,5611,1086
221,128,0,1267
222,128,0,1267
223,128,0,1267
224,128,0,1267
225,128,0,1267
226,128,0,1267
227,128,0,1267
228,128,0,1267
229,190,5430,1448
230,128,0,1267
231,136,1448,1267
232,136,1448,1267
233,38,1086,724
234,38,1086,724
235,38,1086,724
236,38,1086,724
237,136,1448,1267
238,190,5430,1448
239,139,1991,1267
240,139,1991,1267
241,128,0,1267
242,128,0,1267
243,128,0,1267
244,169,1629,1448
245,169,1629,1448
